PC1,PC2,Cluster
-6.965537360801619,-4.858820226662013,1
-6.976420222132528,-4.674311018637941,1
-7.752067366080059,-6.6492798659339725,1
2.004193004209667,2.8054987739924866,1
3.897488787192688,3.5952751971177177,0
5.410587602873907,4.752346452409459,0
6.567705151974014,5.0743257906904065,0
9.087575209378642,0.8237772056707267,0
11.60100896536221,1.2657059989583281,0
12.137640354956828,1.5194334929299163,0
12.993166228403398,1.4553443943994617,0
-4.360076027912263,-0.1711223325688688,1
-3.876412469155894,0.5070516334040055,1
-3.7865614720977905,0.6657256714268381,1
-3.7753067496211457,0.6814952580160337,1
-4.03917958392308,1.8701344050004334,1
-3.825089514112592,2.400728849974084,1
-3.771839387407412,2.6254498957667645,1
-3.6122015211121816,2.7056698249410296,1
-4.770347351477255,0.2468805816162412,1
-4.512557535066397,0.5898524789719338,1
-4.435449558062661,0.7718637048749302,1
-4.292839161491119,1.0534434950201645,1
-4.8587838397869865,0.3105848872977007,1
-4.567892787957566,0.710071704596649,1
-4.536412557599562,0.7918295719857087,1
-4.4472055608873005,1.01435633394994,1
-0.9851621558875707,1.8928586527525182,1
-0.17244895660839848,2.432089926299696,1
-0.14706541045806687,2.6261088854034322,1
0.33321384865490894,2.955186857567112,1
-5.203451091012402,-3.514966902689312,1
-4.3074361606442935,-1.8839871669649388,1
-4.179675908423949,-1.7299772480402376,1
-4.162485182286655,-1.7036906687682136,1
-1.2768289880579864,-2.0871255793663575,1
-0.6657349321570948,-1.6337793699400307,1
-0.7411636259541503,-1.5876664376195138,1
-0.4777076891332238,-1.5560981484261585,1
3.720369059153824,3.5821829849965483,0
6.060750076883483,3.7795276649134735,0
6.168469991457837,4.3372527835480685,0
7.110508722695056,5.0259503158735575,0
-5.0850949498146045,-1.240400210370719,1
-4.508484461054825,-0.26642988114709404,1
-4.784850134607514,-0.6333721453203349,1
-4.745662349309675,-0.5915107197182392,1
12.408738425445392,-6.557572772505612,0
14.944095965147065,-6.624339837954782,0
