year,state,ger_all_male,ger_all_female,ger_all_total,ger_sc_male,ger_sc_female,ger_sc_total,ger_st_male,ger_st_female,ger_st_total,gpi_all,gpi_sc,gpi_st,enr_phd_male,enr_phd_female,enr_phd_total,enr_pg_male,enr_pg_female,enr_pg_total,enr_ug_male,enr_ug_female,enr_ug_total,enr_grand_male,enr_grand_female,enr_grand_total,enr_sc_male,enr_sc_female,enr_sc_total,enr_st_male,enr_st_female,enr_st_total,enr_obc_male,enr_obc_female,enr_obc_total,enr_pwd_male,enr_pwd_female,enr_pwd_total,enr_muslim_male,enr_muslim_female,enr_muslim_total,ptr_all_reg_dist,ptr_all_reg,teacher_total_male,teacher_total_female,teacher_total,teacher_sc_male,teacher_sc_female,teacher_sc_total,teacher_st_male,teacher_st_female,teacher_st_total,teacher_obc_male,teacher_obc_female,teacher_obc_total,total_universities,imputed_flag
2021-22,Karnataka,36.1,36.3,36.2,28.8,26.8,27.8,26.4,25.0,25.8,1.0055,0.9306,0.947,6045.0,5148.0,11193.0,118528.0,142088.0,260616.0,982974.0,923326.0,1906300.0,1258004.0,1178536.0,2436540.0,177617.0,158281.0,335898.0,66315.0,59233.0,125548.0,620133.0,587035.0,1207168.0,3397.0,2660.0,6057.0,78638.0,68611.0,147249.0,15.7906,15.2285,79227.0,71658.0,150885.0,8405.0,4687.0,13092.0,2256.0,1159.0,3415.0,29913.0,26514.0,56427.0,75.0,0
2018-19,Kerala,30.8,43.2,37.0,18.2,33.7,25.9,18.9,27.1,23.1,1.4,1.85,1.43,2503.0,4183.0,6686.0,37756.0,88754.0,126510.0,375536.0,505771.0,881307.0,1142.0,4851.0,5993.0,24464.0,44947.0,69411.0,4272.0,6455.0,10727.0,185095.0,274967.0,460062.0,1807.0,1704.0,3511.0,67175.0,92073.0,159248.0,18.0,14.0,22945.0,36291.0,59236.0,880.0,1290.0,2170.0,77.0,83.0,160.0,8780.0,13833.0,22613.0,23.0,0
2019-20,Kerala,32.8953,44.7351,38.7865,18.6998,34.8279,26.7183,19.1235,28.6823,24.0232,1.3599,1.8625,1.4998,2817.0,4687.0,7504.0,40871.0,97643.0,138514.0,393073.0,509484.0,902557.0,484849.0,653004.0,1137853.0,25434.0,46838.0,72272.0,4360.0,6877.0,11237.0,194158.0,295290.0,489448.0,1975.0,1735.0,3710.0,68848.0,97179.0,166027.0,18.4842,14.3195,23712.0,37846.0,61558.0,906.0,1380.0,2286.0,86.0,99.0,185.0,9231.0,14651.0,23882.0,23.0,0
2020-21,Kerala,34.4554,52.3417,43.1542,23.4246,44.6473,33.735,23.1037,35.129,29.131,1.5191,1.906,1.5205,3184.0,5554.0,8738.0,45876.0,120643.0,166519.0,454250.0,633728.0,1087978.0,559625.0,804911.0,1364536.0,34488.0,62108.0,96596.0,5702.0,8712.0,14414.0,270266.0,426085.0,696351.0,2103.0,1888.0,3991.0,68170.0,102759.0,170929.0,22.3401,16.4659,23150.0,37930.0,61080.0,918.0,1425.0,2343.0,85.0,100.0,185.0,9130.0,14834.0,23964.0,23.0,0
2021-22,Kerala,34.1,49.0,41.3,20.4,36.8,28.3,24.0,33.8,28.9,1.437,1.8039,1.4083,3387.0,5747.0,9134.0,50946.0,121630.0,172576.0,439560.0,576826.0,1016386.0,554572.0,749873.0,1304445.0,29991.0,50960.0,80951.0,5914.0,8352.0,14266.0,218765.0,318522.0,537287.0,2843.0,2472.0,5315.0,76375.0,110983.0,187358.0,19.1725,14.8877,23516.0,39339.0,62855.0,980.0,1521.0,2501.0,97.0,108.0,205.0,9202.0,15471.0,24673.0,25.0,0
2019-20,Ladakh,5.0312,11.3435,7.9178,0.0,0.0,0.0,5.1649,12.564,8.5486,2.2546,14.8407,2.4326,6.0,2.0,8.0,26.0,28.0,54.0,798.0,1746.0,2544.0,999.0,1898.0,2897.0,0.0,0.0,0.0,923.0,1892.0,2815.0,14.0,0.0,14.0,0.0,0.0,0.0,652.0,1302.0,1954.0,14.5578,14.5578,135.0,64.0,199.0,2.0,0.0,2.0,83.0,61.0,144.0,2.0,0.0,2.0,1.0,1
2020-21,Ladakh,5.4184,11.9282,8.3824,0.0,266.6667,17.3913,6.1369,12.3549,9.3462,2.2014,14.8407,2.0132,6.0,2.0,8.0,70.0,23.0,93.0,740.0,1738.0,2478.0,1108.0,2039.0,3147.0,0.0,16.0,16.0,902.0,1937.0,2839.0,35.0,24.0,59.0,0.0,0.0,0.0,679.0,1341.0,2020.0,19.0727,19.0727,104.0,61.0,165.0,1.0,0.0,1.0,84.0,58.0,142.0,0.0,0.0,0.0,2.0,1
2021-22,Ladakh,7.5,16.4,11.5,22.6,335.4,42.3,10.1,17.0,13.6,2.1867,14.8407,1.6832,15.0,3.0,18.0,155.0,318.0,473.0,1187.0,2103.0,3290.0,1571.0,2869.0,4440.0,20.0,20.0,40.0,1525.0,2722.0,4247.0,0.0,5.0,5.0,1.0,0.0,1.0,421.0,727.0,1148.0,16.1679,15.5584,159.0,115.0,274.0,2.0,1.0,3.0,126.0,111.0,237.0,0.0,0.0,0.0,2.0,0
2018-19,Lakshadweep,3.4,11.6,7.4,0.0,0.0,0.0,1.9,6.9,4.5,3.4,1.01,3.68,0.0,0.0,0.0,0.0,26.0,26.0,127.0,392.0,519.0,133.0,427.0,560.0,0.0,0.0,0.0,64.0,246.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,246.0,310.0,12.0,12.0,25.0,20.0,45.0,5.0,3.0,8.0,8.0,11.0,19.0,11.0,6.0,17.0,0.0,1
2019-20,Lakshadweep,3.5552,11.5343,7.5238,0.0,0.0,0.0,2.1098,7.2415,4.7571,3.2443,1.0332,3.4322,0.0,0.0,0.0,0.0,26.0,26.0,133.0,401.0,534.0,133.0,427.0,560.0,0.0,0.0,0.0,70.0,256.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,256.0,326.0,12.4444,12.4444,25.0,20.0,45.0,5.0,3.0,8.0,8.0,11.0,19.0,11.0,6.0,17.0,0.0,1
2020-21,Lakshadweep,3.2734,11.4049,7.173,0.0,0.0,0.0,1.896,6.9717,4.4269,3.4841,1.0162,3.6771,0.0,0.0,0.0,0.0,26.0,26.0,133.0,401.0,534.0,133.0,427.0,560.0,0.0,0.0,0.0,70.0,256.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,256.0,326.0,22.4,22.4,12.0,13.0,25.0,1.0,3.0,4.0,4.0,5.0,9.0,7.0,5.0,12.0,0.0,1
2021-22,Lakshadweep,0.3,1.9,1.1,0.0,0.0,0.0,0.4,2.0,1.2,6.3333,1.0104,5.0,0.0,0.0,0.0,0.0,26.0,26.0,14.0,74.0,88.0,14.0,74.0,88.0,0.0,0.0,0.0,14.0,74.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,74.0,88.0,8.8,8.8,5.0,5.0,10.0,1.0,2.0,3.0,4.0,2.0,6.0,0.0,1.0,1.0,0.0,1
2018-19,Madhya Pradesh,21.8,21.2,21.5,20.0,19.4,19.7,11.7,11.0,11.4,0.97,0.97,0.94,2383.0,1710.0,4093.0,100896.0,121265.0,222161.0,817593.0,703775.0,1521368.0,1545.0,847.0,2392.0,154836.0,129221.0,284057.0,101105.0,97921.0,199026.0,406281.0,366091.0,772372.0,1763.0,1565.0,3328.0,20195.0,16562.0,36757.0,33.0,29.0,34772.0,24412.0,59184.0,2557.0,1292.0,3849.0,790.0,490.0,1280.0,8312.0,4833.0,13145.0,65.0,0
2019-20,Madhya Pradesh,24.163,24.219,24.1896,22.9287,23.5088,23.196,12.5541,12.2811,12.4164,1.0023,1.0253,0.9783,3006.0,2441.0,5447.0,125638.0,159465.0,285103.0,908857.0,802319.0,1711176.0,1144576.0,1037578.0,2182154.0,176528.0,154691.0,331219.0,107910.0,107489.0,215399.0,449846.0,425197.0,875043.0,1403.0,1039.0,2442.0,24366.0,19923.0,44289.0,34.0398,31.6019,37474.0,26632.0,64106.0,2781.0,1469.0,4250.0,899.0,564.0,1463.0,8874.0,5338.0,14212.0,66.0,0
2020-21,Madhya Pradesh,27.3331,26.796,27.0774,25.504,25.781,25.6329,15.292,16.1172,15.712,0.9804,1.0109,1.054,3676.0,2477.0,6153.0,159236.0,184377.0,343613.0,1067537.0,947070.0,2014607.0,1374036.0,1224525.0,2598561.0,210178.0,184840.0,395018.0,140698.0,153701.0,294399.0,528269.0,512294.0,1040563.0,1886.0,708.0,2594.0,20995.0,20432.0,41427.0,33.6942,31.94,44736.0,32386.0,77122.0,3557.0,2007.0,5564.0,1224.0,814.0,2038.0,11089.0,7115.0,18204.0,74.0,0
2021-22,Madhya Pradesh,29.7,28.0,28.9,27.3,26.7,27.0,17.8,17.2,17.5,0.9428,0.978,0.9663,4283.0,3571.0,7854.0,201345.0,239046.0,440391.0,1143205.0,953119.0,2096324.0,1505908.0,1294257.0,2800165.0,226394.0,193880.0,420274.0,164651.0,166351.0,331002.0,575079.0,526841.0,1101920.0,2277.0,1778.0,4055.0,22617.0,16588.0,39205.0,30.9584,29.6384,47319.0,35142.0,82461.0,3875.0,2260.0,6135.0,1286.0,950.0,2236.0,11900.0,7965.0,19865.0,77.0,0
2018-19,Maharashtra,33.5,30.3,32.0,31.9,30.4,31.2,17.4,13.0,15.2,0.9,0.95,0.75,4923.0,3873.0,8796.0,218561.0,242682.0,461243.0,1855670.0,1496019.0,3351689.0,10018.0,7692.0,17710.0,269942.0,240577.0,510519.0,105146.0,79830.0,184976.0,681445.0,565904.0,1247349.0,4400.0,3535.0,7935.0,78777.0,73589.0,152366.0,27.0,23.0,94465.0,64474.0,158939.0,11855.0,6251.0,18106.0,1744.0,669.0,2413.0,22594.0,13095.0,35689.0,62.0,0
2019-20,Maharashtra,33.5248,31.0215,32.3311,30.6444,30.7975,30.7181,17.4091,13.5076,15.449,0.9253,1.005,0.7759,7122.0,4861.0,11983.0,225266.0,253236.0,478502.0,1866422.0,1526553.0,3392975.0,2313862.0,1951610.0,4265472.0,260361.0,243253.0,503614.0,105835.0,82907.0,188742.0,684718.0,581699.0,1266417.0,4714.0,3083.0,7797.0,83037.0,83191.0,166228.0,26.1474,22.066,95447.0,67685.0,163132.0,12202.0,6800.0,19002.0,1881.0,769.0,2650.0,22893.0,13947.0,36840.0,65.0,0
2020-21,Maharashtra,36.2268,33.47,34.9269,34.6378,33.0809,33.8909,18.5919,14.4294,16.5093,0.9239,0.9551,0.7761,9358.0,6393.0,15751.0,244931.0,319628.0,564559.0,1955828.0,1538148.0,3493976.0,2491897.0,2054252.0,4546149.0,290289.0,255618.0,545907.0,111489.0,86643.0,198132.0,723073.0,583566.0,1306639.0,3949.0,2214.0,6163.0,79148.0,71656.0,150804.0,27.9465,22.9679,94345.0,68328.0,162673.0,11942.0,6838.0,18780.0,1933.0,822.0,2755.0,22655.0,14012.0,36667.0,71.0,0
2021-22,Maharashtra,37.1,33.3,35.3,37.6,34.9,36.3,19.4,15.2,17.3,0.8976,0.9282,0.7835,10115.0,7717.0,17832.0,283304.0,303894.0,587198.0,1968964.0,1529764.0,3498728.0,2542831.0,2035012.0,4577843.0,313255.0,268938.0,582193.0,115731.0,90990.0,206721.0,763737.0,615985.0,1379722.0,4955.0,3216.0,8171.0,79193.0,75322.0,154515.0,27.2665,23.1248,95779.0,71913.0,167692.0,12149.0,7403.0,19552.0,1998.0,891.0,2889.0,22762.0,14736.0,37498.0,74.0,0
2018-19,Manipur,33.6,33.8,33.7,68.6,61.3,64.9,24.1,23.0,23.5,1.01,0.89,0.95,601.0,487.0,1088.0,4143.0,4296.0,8439.0,48415.0,48928.0,97343.0,94.0,96.0,190.0,3325.0,3023.0,6348.0,18323.0,17453.0,35776.0,16068.0,19638.0,35706.0,81.0,48.0,129.0,3047.0,2554.0,5601.0,22.0,21.0,2616.0,2419.0,5035.0,176.0,94.0,270.0,343.0,327.0,670.0,434.0,337.0,771.0,6.0,0
2019-20,Manipur,37.7498,38.8899,38.3237,68.7003,65.9015,67.2917,23.0539,23.9774,23.5144,1.0302,0.9593,1.0401,538.0,507.0,1045.0,4689.0,5087.0,9776.0,54042.0,55248.0,109290.0,60918.0,63620.0,124538.0,3353.0,3259.0,6612.0,17660.0,18273.0,35933.0,17875.0,22253.0,40128.0,88.0,80.0,168.0,3380.0,3099.0,6479.0,22.668,21.5857,2792.0,2702.0,5494.0,187.0,107.0,294.0,414.0,446.0,860.0,495.0,418.0,913.0,8.0,0
2020-21,Manipur,36.9317,38.604,37.7534,79.1512,68.9436,74.1779,18.5436,19.9524,19.2235,1.0453,0.871,1.076,624.0,569.0,1193.0,4813.0,5649.0,10462.0,61246.0,60261.0,121507.0,68916.0,69583.0,138499.0,5110.0,4229.0,9339.0,18790.0,18859.0,37649.0,18578.0,22308.0,40886.0,123.0,110.0,233.0,1904.0,2526.0,4430.0,23.8012,22.9096,2946.0,2873.0,5819.0,206.0,131.0,337.0,444.0,473.0,917.0,557.0,480.0,1037.0,9.0,0
2021-22,Manipur,35.3,35.5,35.4,60.3,61.0,60.6,22.0,24.2,23.0,1.0057,1.0116,1.1,725.0,723.0,1448.0,4940.0,5528.0,10468.0,58171.0,54386.0,112557.0,66234.0,64154.0,130388.0,3910.0,3755.0,7665.0,22375.0,22919.0,45294.0,20640.0,21195.0,41835.0,85.0,91.0,176.0,964.0,1000.0,1964.0,20.153,19.3011,3103.0,3167.0,6270.0,226.0,148.0,374.0,454.0,490.0,944.0,663.0,607.0,1270.0,10.0,0
2018-19,Meghalaya,23.8,27.7,25.8,81.3,211.4,142.7,21.1,25.7,23.5,1.17,2.6,1.22,475.0,678.0,1153.0,3760.0,5817.0,9577.0,33868.0,38949.0,72817.0,39844.0,47697.0,87541.0,909.0,2112.0,3021.0,29641.0,38383.0,68024.0,2446.0,1421.0,3867.0,110.0,182.0,292.0,1318.0,934.0,2252.0,26.0,24.0,1462.0,1850.0,3312.0,39.0,25.0,64.0,805.0,1418.0,2223.0,69.0,46.0,115.0,10.0,1
2019-20,Meghalaya,24.16,28.0037,26.1129,99.7689,82.3339,91.5669,20.6206,26.3306,23.5544,1.1591,0.8252,1.2769,492.0,378.0,870.0,4146.0,6139.0,10285.0,33881.0,39321.0,73202.0,39844.0,47697.0,87541.0,1124.0,824.0,1948.0,29208.0,39413.0,68621.0,2503.0,1460.0,3963.0,204.0,163.0,367.0,1177.0,901.0,2078.0,24.1559,22.2276,1597.0,2027.0,3624.0,47.0,33.0,80.0,864.0,1566.0,2430.0,87.0,49.0,136.0,10.0,0
