year,state,ger_all_total,gpi_all,gpi_sc,gpi_st,enr_phd_male,enr_phd_female,enr_phd_total,enr_pg_male,enr_pg_female,enr_pg_total,enr_ug_male,enr_ug_female,enr_ug_total,enr_grand_male,enr_grand_female,enr_grand_total,enr_sc_male,enr_sc_female,enr_sc_total,enr_st_male,enr_st_female,enr_st_total,enr_obc_male,enr_obc_female,enr_obc_total,enr_pwd_male,enr_pwd_female,enr_pwd_total,enr_muslim_male,enr_muslim_female,enr_muslim_total,ptr_all_reg_dist,ptr_all_reg,teacher_total_male,teacher_total_female,teacher_total,teacher_sc_male,teacher_sc_female,teacher_sc_total,teacher_st_male,teacher_st_female,teacher_st_total,teacher_obc_male,teacher_obc_female,teacher_obc_total,total_universities,imputed_flag,log_enr_grand_total,log_enr_ug_total,log_enr_pg_total,log_teacher_total,log_total_universities,student_teacher_ratio,students_per_university,teachers_per_university,female_participation_ratio,phd_ratio,pg_ratio
2018-19,Assam,18.7,0.95,0.94,0.9,2970.0,1970.0,4940.0,26709.0,38720.0,65429.0,300082.0,296037.0,596119.0,756.0,1034.0,1790.0,30045.0,28123.0,58168.0,56783.0,57526.0,114309.0,91467.0,98892.0,190359.0,599.0,364.0,963.0,49869.0,47596.0,97465.0,31.0,26.0,13582.0,9267.0,22849.0,831.0,545.0,1376.0,1530.0,1267.0,2797.0,3150.0,2341.0,5491.0,22.0,0,7.490529402060711,13.29819726806273,11.088736147863784,10.036706396322352,3.1354942159291497,0.07833698030634573,77.82608695652173,993.4347826086956,0.5773310999441653,2.7582356225572306,36.5321049692909
2019-20,Assam,17.3035,0.9868,0.975,0.9866,3214.0,2413.0,5627.0,27523.0,39800.0,67323.0,269915.0,278078.0,547993.0,316908.0,333693.0,650601.0,27642.0,26519.0,54161.0,50251.0,55109.0,105360.0,83549.0,93431.0,176980.0,511.0,301.0,812.0,47608.0,45745.0,93353.0,28.189,24.4278,13579.0,9501.0,23080.0,848.0,574.0,1422.0,1617.0,1369.0,2986.0,3137.0,2466.0,5603.0,26.0,0,13.385653367102123,13.214019616965103,11.117272064246057,10.04676504723975,3.295836866004329,28.187730167670377,24096.333333333332,854.8148148148148,0.512898822936296,0.008648912853019204,0.1034780095972653
2020-21,Assam,17.5352,1.0949,1.1129,1.075,3648.0,2356.0,6004.0,23461.0,33328.0,56789.0,297876.0,304835.0,602711.0,341985.0,355108.0,697093.0,27177.0,26775.0,53952.0,59272.0,63715.0,122987.0,84052.0,91542.0,175594.0,644.0,316.0,960.0,44845.0,43084.0,87929.0,29.9156,27.7739,13510.0,9792.0,23302.0,857.0,622.0,1479.0,1715.0,1484.0,3199.0,3149.0,2508.0,5657.0,28.0,0,13.454675544350948,13.309194749676111,10.947115532871479,10.056337386630338,3.367295829986474,29.91430287945758,24037.689655172413,803.5172413793103,0.5094119300983798,0.008612898690850876,0.08146534039885582
2021-22,Assam,16.9,1.0864,1.0714,1.0354,3140.0,2230.0,5370.0,26134.0,36830.0,62964.0,288411.0,290995.0,579406.0,333926.0,344086.0,678012.0,29419.0,27820.0,57239.0,63952.0,66267.0,130219.0,85446.0,92054.0,177500.0,429.0,232.0,661.0,44047.0,40761.0,84808.0,27.5295,25.2513,13385.0,9951.0,23336.0,885.0,639.0,1524.0,1743.0,1579.0,3322.0,3103.0,2564.0,5667.0,30.0,0,13.426921740780012,13.26976044570799,11.050334295439947,10.057795362874884,3.4339872044851463,29.053091657025323,21871.354838709678,752.7741935483871,0.5074917442585909,0.007920202120018347,0.09286547603069557
2018-19,Bihar,13.6,0.79,0.58,0.67,2239.0,1123.0,3362.0,69515.0,58697.0,128212.0,807032.0,604600.0,1411632.0,2705.0,1439.0,4144.0,111827.0,66058.0,177885.0,15816.0,10728.0,26544.0,411594.0,295551.0,707145.0,3433.0,1987.0,5420.0,80401.0,71171.0,151572.0,61.0,56.0,20888.0,5562.0,26450.0,930.0,174.0,1104.0,92.0,82.0,174.0,7760.0,1658.0,9418.0,33.0,0,8.329658067569396,14.160257748237399,11.761448222383825,10.183049243755137,3.5263605246161616,0.15666704472420703,121.88235294117646,777.9411764705883,0.3471652593486128,0.8110977080820265,30.931724969843184
2019-20,Bihar,14.4587,0.8306,0.6015,0.7729,1665.0,1034.0,2699.0,61287.0,59654.0,120941.0,855740.0,677529.0,1533269.0,969902.0,768530.0,1738432.0,123647.0,74568.0,198215.0,17236.0,13286.0,30522.0,458383.0,356262.0,814645.0,1879.0,737.0,2616.0,83382.0,80567.0,163949.0,58.7368,54.1794,23213.0,6384.0,29597.0,1278.0,254.0,1532.0,111.0,94.0,205.0,8627.0,1936.0,10563.0,35.0,0,14.36849469071703,14.242913267590339,11.703066370816314,10.295462070461793,3.58351893845611,58.73477937698493,48289.77777777778,822.1388888888889,0.44208203594846623,0.0015525476104054628,0.06956897389775735
2020-21,Bihar,15.8836,0.9119,0.7242,0.7904,2625.0,1183.0,3808.0,99157.0,84462.0,183619.0,1141620.0,911387.0,2053007.0,1309402.0,1051539.0,2360941.0,152405.0,105205.0,257610.0,20577.0,15421.0,35998.0,547653.0,446029.0,993682.0,3410.0,2236.0,5646.0,78713.0,75028.0,153741.0,65.8286,59.7088,27445.0,8420.0,35865.0,1584.0,338.0,1922.0,130.0,115.0,245.0,10094.0,2575.0,12669.0,37.0,0,14.674571249903982,14.534816592729962,12.12062368369769,10.48754505050837,3.6375861597263857,65.82671610996486,62130.02631578947,943.8157894736842,0.44538959449236787,0.001612915522702379,0.07777361747980255
2021-22,Bihar,17.1,0.9157,0.7158,0.8158,3720.0,1854.0,5574.0,80756.0,74667.0,155423.0,1291227.0,1041776.0,2333003.0,1447460.0,1175486.0,2622946.0,224269.0,153799.0,378068.0,36612.0,28622.0,65234.0,707676.0,575245.0,1282921.0,2732.0,1289.0,4021.0,93896.0,78785.0,172681.0,68.7487,64.1956,28896.0,9256.0,38152.0,1765.0,380.0,2145.0,136.0,120.0,256.0,10891.0,2998.0,13889.0,37.0,0,14.779809052773729,14.662667265532745,11.953912145145472,10.54935967058025,3.6375861597263857,68.74809320367991,69024.8947368421,1004.0,0.4481546901252675,0.0021250905946631786,0.05925510504024672
2018-19,Chandigarh,50.6,1.54,1.16,0.98,353.0,508.0,861.0,7576.0,13291.0,20867.0,36391.0,32954.0,69345.0,568.0,222.0,790.0,6578.0,5813.0,12391.0,836.0,776.0,1612.0,3107.0,2050.0,5157.0,163.0,73.0,236.0,324.0,228.0,552.0,28.0,21.0,1453.0,2079.0,3532.0,182.0,92.0,274.0,13.0,8.0,21.0,115.0,64.0,179.0,3.0,1,6.673297967767654,11.14686374563683,9.945972164142283,8.169902647359145,1.3862943611198906,0.22360600056609115,197.5,883.0,0.2806573957016435,1.0884955752212389,26.38053097345133
2019-20,Chandigarh,52.1469,1.5191,1.1493,1.0079,409.0,550.0,959.0,8560.0,13854.0,22414.0,39098.0,34415.0,73513.0,53170.0,53497.0,106667.0,6827.0,6037.0,12864.0,961.0,829.0,1790.0,3837.0,2373.0,6210.0,245.0,86.0,331.0,414.0,273.0,687.0,28.3387,20.2997,1595.0,2169.0,3764.0,205.0,108.0,313.0,19.0,8.0,27.0,131.0,76.0,207.0,3.0,1,11.577476486029676,11.205231143253117,10.01748565658954,8.233503140233994,1.3862943611198906,28.33120849933599,26666.75,941.0,0.5015281058986762,0.008990512618592267,0.2101286233922076
